"","id","1","2","3","4","5","observer","second_observer","date","start_time","tempf","sky","wind","hear","noise_distance_m","noise_direction","julian","min_after_sun","egforest","decforest","mixforest","woodland","lowshrub","tallshrub","openshrub","tundra","tussock","sparseveg","fen","bog","littoral","barren","water","elev"
"869","TELL_T2_T2_5",0,0,0,0,0,"MG","KW","2021-06-11","07:35:00",44,"2",-0.291631484940034,0,NA,NA,0.031748908484549,0.134538371073983,-0.0941163461555435,-0.0646554042501242,-0.0747941928207038,-0.109640998791724,0.685925303749745,0.028213249486018,-0.0340928902870618,0.134338211719466,0.682137549672255,-0.15692624536751,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.53327265788781
"870","TELL_T2_T2_9",0,0,0,0,1,"MG","KW","2021-06-11","07:06:00",43,"2",-0.00374428194182886,1,NA,NA,0.031748908484549,0.0127285559942965,0.630034842021241,-0.0646554042501242,-0.0747941928207038,0.050753167454527,-0.112826123816328,-0.0886037726902034,-0.0796487248150958,0.347193371045985,-0.209725542215421,0.0383328469888229,0.1859557490005,-0.0126328943801781,0.54403998265236,-0.140402985922527,-0.0247197845846733,-0.0426478275536594
"871","TELL_T2_T21_10",0,0,0,0,0,"MG","KW","2021-05-26","08:37:00",48,"0",0.572030124054582,2,NA,NA,-0.334324574610823,0.231146155447527,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,-0.180516922762606,-0.333054207984889,-0.147982476607147,0.709420572005148,-0.259779083086669,-0.0276702264837403,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.319063836008442
"872","TELL_T2_T21_12",0,0,0,0,0,"MG","KW","2021-05-26","10:15:00",53,"0",0.428086522555479,2,NA,NA,-0.334324574610823,0.642779323647846,-0.0941163461555435,0.326247018474543,-0.0905252163287318,-0.109640998791724,-0.254976801603511,-0.183788012981939,-0.147982476607147,0.721868242141202,-0.259779083086669,-0.253180727514998,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.168481539433186,-0.106398821787759,0.480340442623992
"873","TELL_T2_T21_14",0,0,0,0,0,"MG","KW","2021-05-26","08:05:00",48,"0",-0.57951868793824,0,NA,NA,-0.334324574610823,0.0967353250147697,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,-0.207593242341117,-0.335217486173337,-0.147982476607147,0.740539747345283,-0.205175220318035,-0.115674324447158,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.452498483581439
"874","TELL_T2_T21_16",0,1,0,0,0,"MG","KW","2021-05-26","04:31:00",43,"0",0.715973725553685,2,NA,NA,-0.334324574610823,-0.802137103504294,-0.0941163461555435,5.72070045207494,-0.0669286810666898,-0.109640998791724,0.19178247144192,0.47168527811797,-0.147982476607147,0.180394591222865,-0.24612811739451,-0.258680983637712,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.183600760554311,-0.106398821787759,0.41848523353308
"875","TELL_T2_T21_18",0,1,0,0,0,"MG","KW","2021-05-26","07:30:00",47,"0",0.284142921056377,1,NA,NA,-0.334324574610823,-0.0502765207710585,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,-0.248207721708883,-0.341707320738683,-0.147982476607147,0.812736234134394,-0.259779083086669,-0.21742906271736,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.383402661080185
"876","TELL_T2_T21_20",1,0,0,1,0,"MG","KW","2021-05-26","05:00:00",41,"1",-0.147687883440932,1,NA,NA,-0.334324574610823,-0.680327288424608,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,-0.153440603184095,-0.328727651607992,-0.147982476607147,0.764190320603785,-0.24612811739451,-0.173427013735651,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.641594740179476
"877","TELL_T2_T21_21",0,0,0,0,0,"MG","KW","2021-05-26","06:00:00",43,"0",0.859917327052787,3,NA,NA,-0.334324574610823,-0.428306981363188,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,-0.072211644448562,-0.341707320738683,-0.147982476607147,0.570006666481347,-0.218826186010194,0.195090146486161,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.166321650701597,-0.106398821787759,0.627473231197377
"878","TELL_T2_T21_22",0,0,1,0,0,"MG","KW","2021-05-26","06:59:00",47,"0",0.284142921056377,1,NA,NA,-0.334324574610823,-0.180487012752792,-0.0941163461555435,0.0917055648397425,-0.0905252163287318,-0.109640998791724,-0.0654425645539343,-0.313584704288852,-0.147982476607147,0.731826378250045,-0.0959674947807688,-0.253180727514998,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.469061259142209
"879","TELL_T2_T21_23",0,0,0,0,0,"MG","KW","2021-05-26","05:33:00",42,"0",0.284142921056377,1,NA,NA,-0.334324574610823,-0.541716119540827,-0.0941163461555435,0.560788472109343,-0.0747941928207038,-0.109640998791724,0.0428627137601097,0.610135082178676,-0.147982476607147,0.138072512760282,0.0223408745512699,-0.253180727514998,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.467516640322362
"880","TELL_T2_T21_24",0,0,0,0,0,"MG","KW","2021-05-26","06:26:00",44,"0",0.284142921056377,2,NA,NA,-0.334324574610823,-0.319098181636573,-0.0941163461555435,0.0917055648397425,-0.0905252163287318,-0.109640998791724,-0.0654425645539343,-0.313584704288852,-0.147982476607147,0.731826378250045,-0.0959674947807688,-0.253180727514998,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.469061259142209
"881","TELL_T2_T21_7",1,0,1,0,0,"MG","KW","2021-05-26","09:13:00",51,"0",0.428086522555479,1,NA,NA,-0.334324574610823,0.382358339684379,-0.0941163461555435,-0.0646554042501242,-0.0905252163287318,-0.109640998791724,0.293318669861336,-0.341707320738683,-0.147982476607147,0.439306130052782,-0.259779083086669,0.387599110781137,-0.189777205110322,-0.0126328943801781,-0.125861937518609,-0.187920538017489,-0.106398821787759,0.258946779984449
