"terrXyear","territory","year","pres_1","pres_2","jday_1","jday_2"
"2022_T076","T076",2022,0,0,133,168
"2022_T077","T077",2022,0,0,136,167
"2022_T078","T078",2022,0,0,135,167
"2022_T080","T080",2022,NA,0,NA,167
"2022_T081","T081",2022,1,1,136,167
"2022_T082","T082",2022,1,1,136,167
"2022_T085","T085",2022,1,1,133,168
"2022_T086","T086",2022,0,0,136,167
"2022_T088","T088",2022,1,0,136,167
"2022_T095","T095",2022,0,0,133,168
"2022_T096","T096",2022,0,1,133,167
"2022_T097","T097",2022,NA,0,NA,168
"2022_T099","T099",2022,NA,0,NA,167
"2022_T102","T102",2022,0,0,133,168
"2022_T104","T104",2022,NA,0,NA,167
"2022_T107","T107",2022,NA,0,NA,168
"2022_T110","T110",2022,0,0,133,168
"2022_T111","T111",2022,0,0,133,168
"2022_T116","T116",2022,NA,0,NA,167
"2022_T123","T123",2022,NA,0,NA,167
"2022_T124","T124",2022,NA,1,NA,167
"2022_T132","T132",2022,0,0,134,167
"2022_T134","T134",2022,0,0,136,167
"2022_T139","T139",2022,1,1,136,167
"2022_T140","T140",2022,NA,0,NA,167
"2022_T146","T146",2022,NA,0,NA,167
"2022_T148","T148",2022,1,1,133,168
"2022_T150","T150",2022,0,0,135,167
"2022_T158","T158",2022,0,0,135,167
"2022_T159","T159",2022,0,0,133,167
"2022_T167","T167",2022,0,0,133,167
"2022_T168","T168",2022,0,0,134,167
"2022_T170","T170",2022,NA,0,NA,167
"2022_T172","T172",2022,0,0,133,168
"2022_T173","T173",2022,1,0,133,167
"2022_T174","T174",2022,NA,0,NA,168
"2022_T175","T175",2022,1,1,134,167
"2022_T176","T176",2022,0,0,134,167
"2022_T177","T177",2022,NA,0,NA,167
"2022_T178","T178",2022,0,0,134,167
"2022_T180","T180",2022,NA,0,NA,168
"2022_T181","T181",2022,NA,0,NA,168
"2022_T182","T182",2022,NA,0,NA,168
"2022_T183","T183",2022,NA,0,NA,168
"2022_T184","T184",2022,NA,0,NA,167
"2022_T185","T185",2022,0,0,133,167
